config_hash,baseline,hyper,channel,horizon_step_s,mse,rmse,mae,skill_vs_persistence,n_valid
ccb0d9c59f9b664f,persistence,,CoPy_R,0.2,0.00130838,0.0361715,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.3,0.00196356,0.0443121,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.4,0.00241502,0.0491429,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.5,0.0027039,0.051999,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.6,0.00287001,0.0535725,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.7,0.00302911,0.0550374,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.8,0.00319529,0.0565269,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,0.9,0.00339056,0.0582286,0.0343965,0.0000,47205
ccb0d9c59f9b664f,persistence,,CoPy_R,1.0,0.00361042,0.0600868,0.0343965,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,F_L,0.1,136862,369.948,379.038,-4.1371,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.2,136817,369.887,379.038,-0.6991,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.3,136795,369.858,379.038,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.4,261468,511.34,379.038,-0.4011,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.5,261606,511.474,379.038,-0.1514,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.6,261683,511.55,379.038,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.7,347412,589.416,379.038,-0.1880,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.8,347603,589.579,379.038,-0.0842,49670
ccb0d9c59f9b664f,seasonal,3,F_L,0.9,347725,589.682,379.038,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_L,1.0,419138,647.409,379.038,-0.1236,49670
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.1,0.00172855,0.0415758,0.0372206,-3.1110,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.2,0.00172712,0.0415586,0.0372206,-0.5053,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.3,0.00172036,0.0414772,0.0372206,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.4,0.00259505,0.0509416,0.0372206,-0.2281,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.5,0.00259519,0.050943,0.0372206,-0.0892,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.6,0.00259752,0.0509658,0.0372206,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.7,0.00312319,0.0558855,0.0372206,-0.1199,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.8,0.00311582,0.0558195,0.0372206,-0.0544,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,0.9,0.00310823,0.0557515,0.0372206,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPx_L,1.0,0.0034792,0.0589847,0.0372206,-0.0730,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.1,0.0015387,0.0392262,0.0358993,-3.1302,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.2,0.0015348,0.0391766,0.0358993,-0.5082,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.3,0.00153253,0.0391476,0.0358993,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.4,0.00240218,0.0490121,0.0358993,-0.2663,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.5,0.0023979,0.0489684,0.0358993,-0.1068,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.6,0.00239612,0.0489501,0.0358993,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.7,0.00304684,0.0551982,0.0358993,-0.1675,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.8,0.00304897,0.0552175,0.0358993,-0.0795,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,0.9,0.00305068,0.055233,0.0358993,0.0000,46647
ccb0d9c59f9b664f,seasonal,3,CoPy_L,1.0,0.00364618,0.0603836,0.0358993,-0.1138,46647
ccb0d9c59f9b664f,seasonal,3,F_R,0.1,740720,860.651,823.185,-4.5080,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.2,740073,860.275,823.185,-0.7551,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.3,739686,860.05,823.185,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.4,1.46974e+06,1212.33,823.185,-0.4195,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.5,1.46829e+06,1211.73,823.185,-0.1470,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.6,1.46669e+06,1211.07,823.185,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.7,1.75806e+06,1325.92,823.185,-0.0987,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.8,1.7563e+06,1325.26,823.185,-0.0386,49670
ccb0d9c59f9b664f,seasonal,3,F_R,0.9,1.75549e+06,1324.95,823.185,0.0000,49670
ccb0d9c59f9b664f,seasonal,3,F_R,1.0,1.94494e+06,1394.61,823.185,-0.0733,49670
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.1,0.00239775,0.0489669,0.0399399,-2.8362,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.2,0.00237708,0.0487553,0.0399399,-0.4463,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.3,0.00237413,0.048725,0.0399399,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.4,0.00333758,0.0577718,0.0399399,-0.1598,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.5,0.00332314,0.0576467,0.0399399,-0.0459,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.6,0.0033265,0.0576758,0.0399399,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.7,0.00381556,0.0617702,0.0399399,-0.0980,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.8,0.00381289,0.0617486,0.0399399,-0.0429,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,0.9,0.00380959,0.0617219,0.0399399,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPx_R,1.0,0.00406976,0.0637947,0.0399399,-0.0365,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.1,0.0019707,0.0443925,0.0376794,-3.0556,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.2,0.00196588,0.0443383,0.0376794,-0.5025,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.3,0.00196356,0.0443121,0.0376794,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.4,0.00287458,0.0536151,0.0376794,-0.1903,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.5,0.00287061,0.0535781,0.0376794,-0.0617,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.6,0.00287001,0.0535725,0.0376794,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.7,0.00340437,0.058347,0.0376794,-0.1239,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.8,0.00339317,0.0582509,0.0376794,-0.0619,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,0.9,0.00339056,0.0582286,0.0376794,0.0000,47205
ccb0d9c59f9b664f,seasonal,3,CoPy_R,1.0,0.00400734,0.0633035,0.0376794,-0.1099,47205
ccb0d9c59f9b664f,ar,16,F_L,0.1,17806.4,133.441,326.106,0.3316,49670
ccb0d9c59f9b664f,ar,16,F_L,0.2,67307.9,259.438,326.106,0.1641,49670
ccb0d9c59f9b664f,ar,16,F_L,0.3,121350,348.354,326.106,0.1129,49670
ccb0d9c59f9b664f,ar,16,F_L,0.4,168283,410.223,326.106,0.0983,49670
ccb0d9c59f9b664f,ar,16,F_L,0.5,204305,452.001,326.106,0.1008,49670
ccb0d9c59f9b664f,ar,16,F_L,0.6,233189,482.896,326.106,0.1089,49670
